hd017081_swp32304 10 7.543E-01 26 5.632E-01
hd017543_swp42210 56 5.735E-01 64 4.832E-01
hd017573_swp40510 175 3.854E-01 193 2.453E-01
hd017769_swp18008 125 4.420E-01 143 3.243E-01
hd018296_swp03154 25 5.284E-01 31 3.109E-01
hd018537_swp48527 78 4.430E-01 83 3.213E-01
hd019356_swp37021 45 6.583E-01 48 4.383E-01
hd019400_swp04415 18 6.294E-01 29 4.761E-01
hd019832_swp39685 167 2.806E-01 220 2.321E-01
hd020315_swp18024 211 3.127E-01 233 2.388E-01
hd020319_swp07840 121 4.754E-01 134 2.881E-01
hd020336_swp29401 257 1.857E-01 249 2.692E-01
hd020809_swp49124 159 3.408E-01 155 3.454E-01
hd021291_swp10612 27 6.327E-01 39 4.790E-01
hd021362_swp18027 219 2.398E-01 268 2.417E-01
hd021428_swp49532 128 3.610E-01 123 3.677E-01
hd021551_swp26895 286 2.954E-01 286 2.314E-01
hd021699_swp04377 39 5.703E-01 41 5.750E-01
hd021699_swp32136 27 5.251E-01 36 5.512E-01
hd021790_swp24553 71 5.682E-01 80 3.158E-01
hd022192_swp04558 202 2.955E-01 202 2.738E-01
hd022192_swp42673 184 2.466E-01 208 2.651E-01
hd022316_swp49775 -999 5.186E-01 21 3.252E-01
hd022316_swp49777 -999 5.130E-01 23 3.213E-01
hd022470_swp04542 52 5.360E-01 60 3.960E-01
hd022780_swp29392 261 2.971E-01 251 2.499E-01
hd022920_swp14506 33 5.792E-01 38 4.996E-01
hd022928_swp47041 168 3.269E-01 179 3.052E-01
hd022951_swp06248 99 1.880E-01 40 4.348E-01
hd022951_swp08023 139 1.849E-01 54 4.025E-01
hd023016_swp40509 239 3.232E-01 248 2.387E-01
hd023180_swp50031 236 1.548E-01 73 3.618E-01
hd023227_swp40256 172 3.295E-01 164 3.439E-01
hd023302_swp07920 132 4.114E-01 142 3.210E-01
hd023302_swp27514 147 4.095E-01 141 3.191E-01
hd023324_swp07923 178 3.654E-01 221 2.487E-01
hd023338_swp40508 93 5.065E-01 113 3.658E-01
hd023383_swp19342 296 2.602E-01 269 1.381E-01
hd023408_swp05985 25 6.859E-01 29 5.297E-01
hd023466_swp20582 105 4.183E-01 91 4.619E-01
hd023480_swp05944 189 3.487E-01 196 2.917E-01
hd023480_swp27666 231 3.150E-01 215 2.663E-01
hd023552_swp10046 183 3.289E-01 204 2.790E-01
hd023630_swp08021 130 4.037E-01 173 2.879E-01
hd023793_swp20583 48 5.448E-01 41 6.302E-01
hd023850_swp05977 155 3.935E-01 184 2.801E-01
hd023862_swp53233 254 3.108E-01 281 2.338E-01
hd023862_swp54080 239 3.220E-01 266 2.438E-01
hd024072_swp40455 208 3.470E-01 278 1.526E-01
hd024072_swp48345 36 2.545E-01 48 1.463E-01
hd024131_swp20845 117 1.901E-01 73 3.743E-01
hd024388_swp40456 107 4.898E-01 110 3.560E-01
hd024398_swp06454 72 2.304E-01 55 4.760E-01
hd024479_swp20434 64 5.603E-01 65 3.283E-01
